2022-07-15 22:29:54,808 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:29:55,912 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:29:55,929 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:29:57,042 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:29:57,049 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:29:58,160 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:29:58,177 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:29:59,281 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:29:59,297 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:00,399 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:00,415 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:01,525 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:01,540 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:02,646 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:02,664 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:03,770 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:03,787 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:04,889 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:04,921 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:06,015 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:06,046 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:07,137 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:07,168 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:08,265 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:08,296 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:09,385 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:09,432 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:10,510 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:10,560 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:11,629 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:11,678 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:12,744 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:12,791 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:13,861 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:13,909 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:14,995 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:15,036 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:16,118 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:16,164 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:17,240 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:17,286 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:18,364 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:18,410 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:19,487 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:19,535 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:20,608 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:20,656 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:21,731 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:21,777 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:22,851 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:22,899 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:23,972 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:24,019 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:25,091 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:25,140 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:26,214 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:26,259 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:27,334 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:27,381 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
